OBJECTID,ETRNOMBRE,ETRTESTAC,geometry,date
61, Avenida 39 ,A ,POINT(-74.0687199370321 4.62675731172693) ,2021-07-11
98, Avenida Jiménez ,A,POINT(-74.0804513956535 4.60278085683398),2021-07-11
103,Calle 22,A,POINT(-74.0747189260253 4.61158845362391),2021-07-11
149, Calle 26 , A ,POINT(-74.0721685541365 4.61665965875571),2021-07-11
64,Calle 57,A,POINT(-74.0658502679586 4.6428649275447),2021-07-11
62,Calle 45,A,POINT(-74.0679033082517 4.63128856557656),2021-07-11
58,Calle 34,A,POINT(-74.0697610952262 4.6214799300536),2021-07-11
18,Calle 76,A,POINT(-74.0612931980656 4.66288904224115),2021-07-11
65,Calle 63,A,POINT(-74.0648722424644 4.64835975084115),2021-07-11
74,Calle 72,A,POINT(-74.0620795635024 4.65823380846294),2021-07-11
73,Flores,A,POINT(-74.0630506575959 4.65487515843309),2021-07-11
63,Marly,A,POINT(-74.0668001645064 4.63741992396213),2021-07-11
101,Calle 19,A,POINT(-74.0768242815055 4.60785444393705),2021-07-11
96,Tercer Milenio,A,POINT(-74.08384632225 4.59806399659337),2021-07-11
37,Calle 127,B,POINT(-74.0541134419034 4.7053370844309),2021-07-11
48,Mazurén,B,POINT(-74.0491037567528 4.73524080234435),2021-07-11
25,Virrey,B,POINT(-74.0588166155908 4.67718568679209),2021-07-11
46,Calle 142,B,POINT(-74.0505034909672 4.72687858667558),2021-07-11
35,Calle 106,B,POINT(-74.0561443935219 4.69316877964111),2021-07-11
50,Toberí­n,B,POINT(-74.0471574336205 4.74693838780241),2021-07-11
147,Terminal,B,POINT(-74.0435843746965 4.7687426448522),2021-07-11
20,Héroes,B,POINT(-74.0604092145035 4.66776010531003),2021-07-11
34,Calle 100,B,POINT(-74.0576907408756 4.68399718427627),2021-07-11
45,Alcalá,B,POINT(-74.0515275892557 4.72084994876866),2021-07-11
36,Pepe Sierra,B,POINT(-74.055192960855 4.69879258179486),2021-07-11
38,Prado,B,POINT(-74.0526974463856 4.71384892859146),2021-07-11
148,Calle 187,B,POINT(-74.0443216651693 4.76431189797591),2021-07-11
47,Calle 146,B,POINT(-74.0496232515833 4.73213851624521),2021-07-11
49,Calle 161,B,POINT(-74.0479609991001 4.74202477020129),2021-07-11
24,Calle 85,B,POINT(-74.0596440070866 4.67229146163403),2021-07-11
150,Portal Norte,B,POINT(-74.0460823218037 4.75451205804934),2021-07-11
21,San Martín,C,POINT(-74.0668241845587 4.67693516887087),2021-07-11
33,Puentelargo,C,POINT(-74.0668806517592 4.69277432766757),2021-07-11
22,Rionegro,C,POINT(-74.0643074671537 4.68111644732834),2021-07-11
40,Suba - Tv. 91,C,POINT(-74.0851978205269 4.73786575472389),2021-07-11
32,Suba - Calle 95,C,POINT(-74.0629262274543 4.6840459055328),2021-07-11
42,Suba – Avenida Boyacá,C,POINT(-74.0747377277642 4.72139654174594),2021-07-11
29,Humedal Córdoba,C,POINT(-74.0710561397774 4.70609214194483),2021-07-11
31,Suba - Calle 100,C,POINT(-74.0652907010799 4.68933892902809),2021-07-11
44,21 Ángeles,C,POINT(-74.080413032201 4.73503772936773),2021-07-11
28,Shaio,C,POINT(-74.0700386629708 4.69982280189249),2021-07-11
41,La Campiña,C,POINT(-74.0903293522644 4.74182530077083),2021-07-11
30,Niza - Calle 127,C,POINT(-74.0723172872997 4.71197779133581),2021-07-11
43,Gratamira,C,POINT(-74.0747599502877 4.72592805539052),2021-07-11
151,Portal de Suba,C,POINT(-74.0943098393906 4.74674558212497),2021-07-11
9,Minuto de Dios,D,POINT(-74.0911294834846 4.69639765869437),2021-07-11
6,Quirigua,D,POINT(-74.1083119021821 4.70641709157231),2021-07-11
17,Escuela Militar,D,POINT(-74.0689900658279 4.67496822041371),2021-07-11
7,Carrera 90,D,POINT(-74.1042029883096 4.70446437172244),2021-07-11
13,Carrera 53,D,POINT(-74.077770145516 4.68225054226667),2021-07-11
19,Polo,D,POINT(-74.0645013020325 4.67032894636591),2021-07-11
12,Granja - Carrera 77,D,POINT(-74.0956868516183 4.69889928228634),2021-07-11
16,Carrera 47,D,POINT(-74.0740496820369 4.67823119415307),2021-07-11
26,Ferias,D,POINT(-74.0843536817393 4.69052950000818),2021-07-11
27,Avenida 68,D,POINT(-74.0802145656086 4.68535365520315),2021-07-11
10,Avenida Boyacá,D,POINT(-74.0874978076916 4.69424840006761),2021-07-11
11,Avenida Ciudad de Cali,D,POINT(-74.100690474039 4.70274050073818),2021-07-11
152,Portal de la 80,D,POINT(-74.1104134407206 4.70957518819608),2021-07-11
23,Castellana,E,POINT(-74.0646892242 4.67539913294938),2021-07-11
145,Guatoque – Veraguas,E,POINT(-74.0947031694327 4.60394386713124),2021-07-11
60,Campín-UAN,E,POINT(-74.0787173075919 4.64529146345142),2021-07-11
59,Universidad Nacional,E,POINT(-74.0793350601483 4.63697281052641),2021-07-11
15,NQS - Calle 75,E,POINT(-74.0707301627204 4.67085073795014),2021-07-11
146,Tygua - San José,E,POINT(-74.0887184690424 4.5996670099393),2021-07-11
89,Ricaurte,E,POINT(-74.0936150625869 4.61196730564432),2021-07-11
14,Avenida Chile,E,POINT(-74.0745979705672 4.66624270723337),2021-07-11
107,CAD,E,POINT(-74.0841859015971 4.62336319585393),2021-07-11
72,Simón Bolí­var,E,POINT(-74.0775501705608 4.6578501472569),2021-07-11
95,Paloquemao,E,POINT(-74.0890591802667 4.61748561260649),2021-07-11
71,Movistar Arena,E,POINT(-74.0782057197326 4.65188143244997),2021-07-11
92,Puente Aranda,F,POINT(-74.1042871712314 4.62529704706962),2021-07-11
83,Marsella,F,POINT(-74.1286026471711 4.62948820570923),2021-07-11
82,Mundo Aventura,F,POINT(-74.1352242117754 4.63013960927621),2021-07-11
80,Banderas,F,POINT(-74.145546279293 4.63125597008127),2021-07-11
90,San Façon -  Carrera 22,F,POINT(-74.0866644423991 4.60958136888557),2021-07-11
87,CDS – Carrera 32,F,POINT(-74.093967565996 4.61608260230807),2021-07-11
88,Ricaurte,F,POINT(-74.0902920551121 4.61280929719196),2021-07-11
93,Zona Industrial,F,POINT(-74.0987954626758 4.62036265127736),2021-07-11
79,Tv 86,F,POINT(-74.1529530774568 4.63505303522196),2021-07-11
77,Patio Bonito,F,POINT(-74.1646447820337 4.63310951012268),2021-07-11
97,De La Sabana,F,POINT(-74.0819392851401 4.60540510158151),2021-07-11
84,Pradera,F,POINT(-74.1196845386447 4.62860887669357),2021-07-11
78,Biblioteca Tintal,F,POINT(-74.1593703966065 4.63779789007191),2021-07-11
81,Mandalay,F,POINT(-74.140760413887 4.63072668345923),2021-07-11
91,Américas – Carrera 53A,F,POINT(-74.1102595197866 4.62768973052713),2021-07-11
94,Carrera 43,F,POINT(-74.101480395906 4.62275354449805),2021-07-11
153,Portal de las Américas,F,POINT(-74.1729418986789 4.6290539996053),2021-07-11
127,Perdomo,G,POINT(-74.163821727604 4.59574104769829),2021-07-11
128,Madelena,G,POINT(-74.1560128893332 4.59631478787517),2021-07-11
133,NQS - Calle 38A Sur,G,POINT(-74.1249246434623 4.59365568100008),2021-07-11
131,Alquería,G,POINT(-74.1352654534301 4.59441518135819),2021-07-11
134,NQS - Calle 30 Sur,G,POINT(-74.117048303086 4.59496765439606),2021-07-11
1,LA Despensa,G,POINT(-74.1876524312939 4.59479960492157),2021-07-11
129,Sevillana,G,POINT(-74.1484994584502 4.59518059878933),2021-07-11
5,San Mateo,G,POINT(-74.2057194237466 4.58580301952286),2021-07-11
130,Venecia,G,POINT(-74.1416317895941 4.59554553296505),2021-07-11
3,León XIII,G,POINT(-74.1936665200687 4.59190430526542),2021-07-11
2,Bosa,G,POINT(-74.1815740860268 4.59679491083626),2021-07-11
132,General Santander,G,POINT(-74.1282965183903 4.59347553933107),2021-07-11
86,Comuneros,G,POINT(-74.0999187349717 4.60409657238115),2021-07-11
85,Santa Isabel,G,POINT(-74.1021872361856 4.60199237440793),2021-07-11
4,Terreros,G,POINT(-74.1994982122133 4.58895379383919),2021-07-11
135,Sena,G,POINT(-74.1097241984374 4.59779635695536),2021-07-11
154,Portal del Sur,G,POINT(-74.1693512821826 4.59672746647165),2021-07-11
118,Quiroga,H,POINT(-74.1149484857195 4.57666117001921),2021-07-11
137,Hortúa,H,POINT(-74.0903228035459 4.59069142922774),2021-07-11
119,Olaya,H,POINT(-74.1070008909749 4.57902874026758),2021-07-11
136,Nariño,H,POINT(-74.0944172814918 4.58576650707986),2021-07-11
114,Parque,H,POINT(-74.1351748376724 4.56837859372565),2021-07-11
115,Biblioteca,H,POINT(-74.1301163919682 4.57036031047885),2021-07-11
111,Socorro,H,POINT(-74.1252967579923 4.56412003744751),2021-07-11
112,Molinos,H,POINT(-74.1217249656928 4.55680960758016),2021-07-11
124,Fucha,H,POINT(-74.098790408754 4.58330647424741),2021-07-11
139,Hospital,H,POINT(-74.0859404586706 4.59538405516924),2021-07-11
120,Restrepo,H,POINT(-74.1014573352544 4.58178479230393),2021-07-11
116,Santa Lucí­a,H,POINT(-74.1246928358982 4.5709053868195),2021-07-11
113,Consuelo,H,POINT(-74.1240467603593 4.56052104859799),2021-07-11
117,Calle 40 Sur,H,POINT(-74.1200657809563 4.57576219846351),2021-07-11
155,Portal Tunal,H,POINT(-74.1396019069708 4.57094713218268),2021-07-11
156,Portal Usme,H,POINT(-74.1195083960855 4.53145695595922),2021-07-11
99,Avenida Jiménez,J,POINT(-74.0790075083445 4.60291228003785),2021-07-11
100,Museo del Oro,J,POINT(-74.0729812779403 4.60112562421641),2021-07-11
68,Avenida Rojas,K,POINT(-74.1089073172305 4.66215139457955),2021-07-11
106,Aguas,K,POINT(-74.0684164933156 4.6025498317366),2021-07-11
57,Avenida El Dorado,K,POINT(-74.0797757556603 4.63159992930465),2021-07-11
144,Universidades,K,POINT(-74.0668927871003 4.60538074002786),2021-07-11
54,Quinta Paredes,K,POINT(-74.0925263727345 4.63656155212235),2021-07-11
53,Gobernación,K,POINT(-74.0958880392076 4.64173996715707),2021-07-11
108,Concejo de Bogotá,K,POINT(-74.0809368173853 4.62688759693071),2021-07-11
56,Ciudad Universitaria,K,POINT(-74.0836794817455 4.63106212964313),2021-07-11
109,Centro Memoria,K,POINT(-74.077427555016 4.62187447931954),2021-07-11
52,CAN,K,POINT(-74.0984126824484 4.64571613290188),2021-07-11
55,Recinto Ferial,K,POINT(-74.0891924758818 4.63406682909112),2021-07-11
70,Normandía,K,POINT(-74.1135436293113 4.669418924354),2021-07-11
69,Modelia,K,POINT(-74.116550600486 4.67411289641766),2021-07-11
66,Salitre – El Greco,K,POINT(-74.1011226571155 4.6499851731233),2021-07-11
67,El Tiempo – Maloka,K,POINT(-74.1049792611741 4.65596554715421),2021-07-11
157,Portal El Dorado,K,POINT(-74.1206267689698 4.68042600308726),2021-07-11
125,Ciudad Jardí­n-UAN,L,POINT(-74.0900226494601 4.58194556040216),2021-07-11
123,Avenida 1 de Mayo,L,POINT(-74.0936380684414 4.57695409256808),2021-07-11
105,Museo Nacional,L,POINT(-74.0692641975166 4.61509591489657),2021-07-11
140,San Bernardo,L,POINT(-74.0842563564648 4.59026077846576),2021-07-11
138,Policarpa,L,POINT(-74.0869672312438 4.58615662134034),2021-07-11
122,Country Sur,L,POINT(-74.0985939714559 4.57135225343876),2021-07-11
104,San Diego,L,POINT(-74.0717707801287 4.61033356631069),2021-07-11
143,San Victorino,L,POINT(-74.0773505613114 4.6010375927564),2021-07-11
102,Las Nieves,L,POINT(-74.0743422076294 4.60600500692683),2021-07-11
142,Bicentenario,L,POINT(-74.0821148491842 4.59358536379978),2021-07-11
158,Portal 20 de Julio,L,POINT(-74.0972218595381 4.56547286508739),2021-07-11